"Jahr","Grossregion","Schweizer/innen und Ausländer/innen","Berufliche Stellung","Geschlecht","Zentralwert","P10","P25","P75","P90"
"2024","Schweiz","> Niedergelassene (Kat. C)","Berufliche Stellung - Total","Geschlecht - Total",6559,4559,5286,8850,12850
"2024","Schweiz","> Niedergelassene (Kat. C)","Berufliche Stellung - Total","Frauen",5954,4278,4837,8330,11681
"2024","Schweiz","> Niedergelassene (Kat. C)","Berufliche Stellung - Total","Männer",6813,4891,5672,9206,13560
"2024","Schweiz","> Niedergelassene (Kat. C)","Oberes und mittleres Kader","Geschlecht - Total",11966,5951,8132,17931,28024
"2024","Schweiz","> Niedergelassene (Kat. C)","Oberes und mittleres Kader","Frauen",11583,5684,8098,16866,24803
"2024","Schweiz","> Niedergelassene (Kat. C)","Oberes und mittleres Kader","Männer",12129,6000,8180,18393,29453
"2024","Schweiz","> Niedergelassene (Kat. C)","Unteres Kader","Geschlecht - Total",9917,6032,7633,12694,16918
"2024","Schweiz","> Niedergelassene (Kat. C)","Unteres Kader","Frauen",9529,5416,7303,12182,16260
"2024","Schweiz","> Niedergelassene (Kat. C)","Unteres Kader","Männer",10166,6409,7777,12960,17333
"2024","Schweiz","> Niedergelassene (Kat. C)","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",7487,5179,6142,9713,12339
"2024","Schweiz","> Niedergelassene (Kat. C)","Verantwortlich für die Ausführung der Arbeiten","Frauen",7249,4800,5714,9531,12083
"2024","Schweiz","> Niedergelassene (Kat. C)","Verantwortlich für die Ausführung der Arbeiten","Männer",7557,5534,6338,9793,12506
"2024","Schweiz","> Niedergelassene (Kat. C)","Ohne Kaderfunktion","Geschlecht - Total",6034,4434,5050,7401,9469
"2024","Schweiz","> Niedergelassene (Kat. C)","Ohne Kaderfunktion","Frauen",5480,4185,4682,7121,9185
"2024","Schweiz","> Niedergelassene (Kat. C)","Ohne Kaderfunktion","Männer",6310,4746,5409,7536,9693
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Berufliche Stellung - Total","Geschlecht - Total",6314,4251,5081,8276,11109
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Berufliche Stellung - Total","Frauen",6118,3996,4732,8163,10609
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Berufliche Stellung - Total","Männer",6385,4399,5235,8332,11380
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Oberes und mittleres Kader","Geschlecht - Total",11207,5892,7998,15960,23121
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Oberes und mittleres Kader","Frauen",10522,5335,7500,15100,21430
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Oberes und mittleres Kader","Männer",11540,6118,8181,16251,23778
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Unteres Kader","Geschlecht - Total",9028,5371,6964,11753,14960
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Unteres Kader","Frauen",8749,4952,6641,11265,14417
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Unteres Kader","Männer",9139,5528,7055,11920,15202
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",7011,4621,5640,9012,11378
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Verantwortlich für die Ausführung der Arbeiten","Frauen",6905,4302,5342,8749,10838
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Verantwortlich für die Ausführung der Arbeiten","Männer",7036,4798,5770,9122,11626
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Ohne Kaderfunktion","Geschlecht - Total",5950,4140,4874,7418,9332
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Ohne Kaderfunktion","Frauen",5753,3880,4584,7502,9427
"2024","Schweiz","> Grenzgänger/innen (Kat. G)","Ohne Kaderfunktion","Männer",6012,4286,5024,7375,9281
"2024","Schweiz","> Andere","Berufliche Stellung - Total","Geschlecht - Total",5003,3814,4270,6736,9922
"2024","Schweiz","> Andere","Berufliche Stellung - Total","Frauen",4955,3847,4262,7038,10118
"2024","Schweiz","> Andere","Berufliche Stellung - Total","Männer",5036,3796,4284,6505,9763
"2024","Schweiz","> Andere","Oberes und mittleres Kader","Geschlecht - Total",13419,6930,9186,21041,35389
"2024","Schweiz","> Andere","Oberes und mittleres Kader","Frauen",12455,7177,9591,18189,32710
"2024","Schweiz","> Andere","Oberes und mittleres Kader","Männer",13750,6894,8768,22456,36315
"2024","Schweiz","> Andere","Unteres Kader","Geschlecht - Total",9406,5500,7176,11714,14286
"2024","Schweiz","> Andere","Unteres Kader","Frauen",9278,5302,7138,11446,13551
"2024","Schweiz","> Andere","Unteres Kader","Männer",9659,5854,7434,11920,15417
"2024","Schweiz","> Andere","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",6926,3933,4481,9123,11381
"2024","Schweiz","> Andere","Verantwortlich für die Ausführung der Arbeiten","Frauen",7117,4233,4515,9438,11862
"2024","Schweiz","> Andere","Verantwortlich für die Ausführung der Arbeiten","Männer",6625,3776,4285,8806,10962
"2024","Schweiz","> Andere","Ohne Kaderfunktion","Geschlecht - Total",4819,3782,4200,5994,7931
"2024","Schweiz","> Andere","Ohne Kaderfunktion","Frauen",4740,3817,4166,6145,8347
"2024","Schweiz","> Andere","Ohne Kaderfunktion","Männer",4874,3761,4220,5916,7627
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Berufliche Stellung - Total","Geschlecht - Total",6998,4585,5500,9346,12636
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Berufliche Stellung - Total","Frauen",6902,4439,5318,8970,11573
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Berufliche Stellung - Total","Männer",7052,4711,5618,9687,13531
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Oberes und mittleres Kader","Geschlecht - Total",11697,6083,8252,16666,24902
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Oberes und mittleres Kader","Frauen",11022,5800,7870,15105,21774
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Oberes und mittleres Kader","Männer",11955,6193,8471,17490,26177
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Unteres Kader","Geschlecht - Total",9613,5957,7643,12035,15546
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Unteres Kader","Frauen",9243,5495,7295,11548,14595
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Unteres Kader","Männer",9833,6190,7837,12348,16206
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",7589,5092,6165,9784,12597
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Verantwortlich für die Ausführung der Arbeiten","Frauen",7551,4785,6000,9598,12326
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Verantwortlich für die Ausführung der Arbeiten","Männer",7628,5300,6242,9907,12787
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Ohne Kaderfunktion","Geschlecht - Total",6378,4449,5178,7995,9908
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Ohne Kaderfunktion","Frauen",6411,4332,5072,8109,9869
"2024","Région lémanique","Schweizer/innen und Ausländer/innen - Total","Ohne Kaderfunktion","Männer",6355,4545,5247,7892,9941
"2024","Région lémanique","Schweizer/innen","Berufliche Stellung - Total","Geschlecht - Total",7632,4983,6033,9943,13179
"2024","Région lémanique","Schweizer/innen","Berufliche Stellung - Total","Frauen",7333,4834,5835,9246,11704
"2024","Région lémanique","Schweizer/innen","Berufliche Stellung - Total","Männer",7919,5125,6209,10664,14596
"2024","Région lémanique","Schweizer/innen","Oberes und mittleres Kader","Geschlecht - Total",11467,6190,8238,15883,23329
"2024","Région lémanique","Schweizer/innen","Oberes und mittleres Kader","Frauen",10413,5542,7544,14260,20146
"2024","Région lémanique","Schweizer/innen","Oberes und mittleres Kader","Männer",11830,6420,8584,16661,24287
"2024","Région lémanique","Schweizer/innen","Unteres Kader","Geschlecht - Total",9518,6220,7774,11805,14821
"2024","Région lémanique","Schweizer/innen","Unteres Kader","Frauen",9127,5812,7442,11320,13986
"2024","Région lémanique","Schweizer/innen","Unteres Kader","Männer",9772,6444,8016,12105,15519
"2024","Région lémanique","Schweizer/innen","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",7967,5450,6480,10091,12879
"2024","Région lémanique","Schweizer/innen","Verantwortlich für die Ausführung der Arbeiten","Frauen",7864,5263,6310,9803,12591
"2024","Région lémanique","Schweizer/innen","Verantwortlich für die Ausführung der Arbeiten","Männer",8063,5522,6588,10278,13077
"2024","Région lémanique","Schweizer/innen","Ohne Kaderfunktion","Geschlecht - Total",6931,4785,5654,8574,10422
"2024","Région lémanique","Schweizer/innen","Ohne Kaderfunktion","Frauen",6917,4702,5610,8507,10187
"2024","Région lémanique","Schweizer/innen","Ohne Kaderfunktion","Männer",6945,4874,5713,8645,10679
"2024","Région lémanique","Ausländer/innen","Berufliche Stellung - Total","Geschlecht - Total",6370,4355,5091,8536,11954
"2024","Région lémanique","Ausländer/innen","Berufliche Stellung - Total","Frauen",6227,4203,4800,8461,11318
"2024","Région lémanique","Ausländer/innen","Berufliche Stellung - Total","Männer",6431,4518,5247,8589,12392
"2024","Région lémanique","Ausländer/innen","Oberes und mittleres Kader","Geschlecht - Total",12173,5899,8332,18350,28150
"2024","Région lémanique","Ausländer/innen","Oberes und mittleres Kader","Frauen",12070,6155,8881,17064,24732
"2024","Région lémanique","Ausländer/innen","Oberes und mittleres Kader","Männer",12230,5835,8049,19009,29941
"2024","Région lémanique","Ausländer/innen","Unteres Kader","Geschlecht - Total",9726,5571,7393,12436,16355
"2024","Région lémanique","Ausländer/innen","Unteres Kader","Frauen",9428,5067,7082,11900,15466
"2024","Région lémanique","Ausländer/innen","Unteres Kader","Männer",9898,5927,7559,12729,16830
"2024","Région lémanique","Ausländer/innen","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",7148,4797,5911,9422,12309
"2024","Région lémanique","Ausländer/innen","Verantwortlich für die Ausführung der Arbeiten","Frauen",7163,4464,5585,9343,11849
"2024","Région lémanique","Ausländer/innen","Verantwortlich für die Ausführung der Arbeiten","Männer",7147,5156,6025,9484,12500
"2024","Région lémanique","Ausländer/innen","Ohne Kaderfunktion","Geschlecht - Total",5897,4264,4851,7311,9270
"2024","Région lémanique","Ausländer/innen","Ohne Kaderfunktion","Frauen",5716,4119,4635,7460,9352
"2024","Région lémanique","Ausländer/innen","Ohne Kaderfunktion","Männer",5984,4404,5009,7226,9200
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Berufliche Stellung - Total","Geschlecht - Total",5440,3836,4417,6499,8470
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Berufliche Stellung - Total","Frauen",4587,3659,4002,6175,8947
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Berufliche Stellung - Total","Männer",5722,4084,4707,6552,8279
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Oberes und mittleres Kader","Geschlecht - Total",7500,5205,5837,11250,17900
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Oberes und mittleres Kader","Frauen",,,,,
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Oberes und mittleres Kader","Männer",5837,5205,5205,10613,17575
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Unteres Kader","Geschlecht - Total",8470,3836,5578,10971,11938
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Unteres Kader","Frauen",8156,3703,4983,10444,12466
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Unteres Kader","Männer",8470,3836,5632,11106,11473
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",4805,3678,4072,6697,10284
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Verantwortlich für die Ausführung der Arbeiten","Frauen",4359,3625,4072,6226,9992
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Verantwortlich für die Ausführung der Arbeiten","Männer",5732,3678,4215,6964,10284
"2024","Région lémanique","> Kurzaufenthalter/innen (Kat. L)","Ohne Kaderfunktion","Geschlecht - Total",5398,3839,4416,6374,7637
